NUM_TRIALS,MIN_BITS,MAX_BITS
10,16,64
q,a,b,time (s)
360668147560043,185228005125691,187886433640425,0.960866
916407148908491,219519457324861,48892677911188,1.805489
834116076303493,617089348676770,244110652068431,1.597291
804977085825083,712728733665472,403494901600842,1.528665
600533586788017,5227457921124,469327294125716,0.814790
1105796585611937,316836856026293,657396137274445,2.273402
983333887898039,790401823147403,28296189371187,2.278627
660079929224011,106417954881755,457650085091066,0.884551
758604630613901,628282207671552,652813062720854,1.019508
736819807523677,532832002928732,496634529095938,1.094105
965911426260029,145298716056194,29883593681904,1.566176
1822469867144711,1098150989620480,528263042941652,2.037092
1236808514334023,495062256811032,1107593540922225,1.918679
1958983040882671,1644958179774469,270746257770632,2.313765
2122973963967677,589764357162249,1978708450882750,1.602114
2133980247713647,1504587043441564,1469264508792575,1.816450
1645896067310581,1241267368817792,1355824265526582,1.596723
2074984330382321,1258820327132507,917853276592994,2.131699
1182288187187969,920631271004397,880522499010626,2.110794
1464819413732021,787423347434091,1285725023686467,1.688165
1463098364214731,318931640433404,1173069770363564,1.763183
4498674490464997,16668387397670,875339966870674,2.271131
3203869556785613,2180511948302280,59729177803297,1.497587
2580465059877049,2498019617887930,191772634875468,1.733659
2555361786549581,1355003142687571,864463019766766,1.575147
2662362074461981,392117413729699,1918063012713380,1.849910
3638895889455703,2299462090508879,1841337463179704,1.874071
3217567668653791,2042383620493464,1757795091765067,2.138684
2587740470055089,2485630157150914,2452204240750166,2.304624
2925399962396437,2890497994184166,1777302243987399,1.675616
3393505957564259,443438801535856,2936548993581146,1.433103
8345630053729807,6196138774835105,3358921262647454,1.906375
5867681931449407,1207953816615343,1441234708612120,1.552603
7753509751899017,6592418355013113,796254404000106,2.043796
8622750968958023,7186573105341661,4500885994891710,2.319243
5852597437931549,4050938446073360,1748189100384266,1.757199
8627638714282657,7249123575388030,7179046832072504,1.992852
6965152092094531,4404642431929420,3342464039335029,2.082823
5257189894687727,2794555414815679,4993592575300375,1.368230
4967013247426781,2662188029683624,2505565569379121,1.896137
8346235356746449,6235561367459050,515037112821941,2.011890
11987122938282431,6997851251380351,10993407940596609,1.634683
9605418987439991,6058165471144640,403498234813208,1.907115
16251789872632583,4677365262102936,9205047345867875,1.611311
10858521193002677,5781788523231475,1137194213855155,1.551816
12696963424084081,7315732066377881,2828325786278523,1.643563
10496846985739151,6695238466108840,1125517304060340,1.996024
11778293283943561,6309011503471328,1045724828723971,2.181861
15999485917125019,4669586592442203,3923425926655435,2.031215
10254848899083961,8105901393199356,1866899476718780,1.567985
13553225010652169,5598226679142062,12052540910510730,1.750086
32746972280226509,10488092878983615,10009140027063801,2.026569
24011021273056253,848089960381971,11548545015807983,1.793446
23509417110282427,6912024650917434,19135170427217655,1.892980
22246642919046701,30268363141777,20555625482740436,1.712584
21046904414068583,10710283484450165,17139243224262857,1.640099
33189760503553483,7044260344012853,22355918464293632,1.958005
34037780386707277,28578910335592902,7477584766997670,1.503951
25218073168768057,11874479679881910,20487988609460808,1.758494
18080015329545779,8027200056099835,7563358945664419,1.706909
31842869384040529,29421237431506255,10180353364826846,1.734376
63294224100651889,33194590014421321,37902780251611546,2.304354
49289918660449543,37327810639526016,31024357125146677,2.180144
53684428560602717,9245490509835595,11055810448913362,2.358034
51459696902341463,18952274811624632,24477334596842323,2.473959
40443210256730951,7216284041139678,30641588165857940,1.716629
37300850875515343,3042409931468546,29186773234648619,1.974429
42031433226703603,37288933591961066,23202963234483322,1.993357
65314089538923473,28534732096703707,27236051919499850,1.399044
57799169765484481,43514633627992021,30625140496575071,1.883348
46846025569816951,18584858575750279,42475862564795506,2.180148
104904176436227719,57727923442200650,54066350798195602,1.730109
128398326143453543,28645496790828568,27385400532731742,1.445750
84990816138042233,24276752702937724,64736108079001689,1.853649
139116982647536813,91036166891485920,72009617484796132,2.262850
120588222599803009,120077178327823778,71536874976938922,2.075976
103910968759016501,10051950134034167,27733832018515241,2.072208
88248999364844911,15918987617257502,9024563845547519,2.225875
84803513617845521,45305179245511104,13789428657510710,1.966321
86649559918734151,49352860924194705,39667959344051425,1.695063
114860391555999829,49936136005043434,97225640735469984,1.796109
275431093834706779,171510017490647443,82262186280415796,2.538058
260536519699605319,201728301723463524,27631213772896110,2.164474
182085057017641333,139275682086818388,121634616783858530,2.036338
240391916630837701,200231778693098497,172825302052888037,1.796829
151030742624039527,129132792497539166,70108893020251035,2.269848
261305169847642007,225036554639223913,139518325809233057,2.199136
189939944377518239,12658851129104475,48214104976443198,2.044468
245180200639784441,8201337510030257,88109906671682511,2.020471
175860109167250423,139290448219003615,99132767874571314,1.473828
236056484114808737,18560439061648230,207823577394977044,1.687608
390837927261868643,252226962725599381,104226703378485955,1.698455
295144654241375593,286052225187665566,75665670644599529,1.613499
303673498845397279,221122673913585672,28118273532784349,1.465655
478326785281212167,48546345833926157,398414334964540280,2.135350
